node_1|node_2|edge|chunk_id
european union general data protection regulation (gdpr)|all companies|All companies must obtain unambiguous, freely-given consent from customers before they collect and use (‘process’) their personally identifiable information under the European Union General Data Protection Regulation (GDPR).|67e363c17ff04bc98feae25a2118f974
dark patterns|us law|Bait-and-switch, a form of fraud that violates US law is mentioned in the context. The DETOUR Act introduced by US senators Deb Fischer and Mark W. Arner makes it illegal for companies with more than 100 million monthly active users to use dark patterns when seeking consent to use personal information. This suggests a strong association between dark patterns and violation of US law.|f852466db448426dafca7d65ce5761b8
california consumer privacy act|deceptive user interfaces|In March 2021, California adopted amendments to the California Consumer Privacy Act which prohibits the use of deceptive user interfaces that have 'the substantial effect of subverting or impairing a consumer’s choice to opt-out'. This implies that there is a relationship between deceptive user interfaces and violation of the California Consumer Privacy Act.|f852466db448426dafca7d65ce5761b8
federal trade commission|dark patterns|In October 2021, the Federal Trade Commission issued an enforcement policy statement announcing a crackdown on businesses using dark patterns that 'trick or trap consumers into subscription services'. This highlights a strong association between dark patterns and actions by the Federal Trade Commission.|f852466db448426dafca7d65ce5761b8
gdpr|fair processing|The principle of fair processing laid down in Article 5 (1) (a) GDPR serves as a starting point to assess whether a design pattern actually constitutes a ’dark pattern’ .|d6d50772ebcf4ca09803a9813b64325a
european data protection board|gdpr|According to the European Data Protection Board,|d6d50772ebcf4ca09803a9813b64325a
gdpr|user's informed consent|is intended to prevent attempts to have users unknowingly accept all data processing by default (which violates the regulation).|d6d50772ebcf4ca09803a9813b64325a
federal trade commission|epic games|In March 2023, the United States F federal T rade Commission fined F ortnite developer Epic Games $245 million for use of ”dark patterns to trick users into making purchases.|d6d50772ebcf4ca09803a9813b64325a
expedia group|australian competition and consumer commission|In 2022, the Federal Court of Australia fined Expedia Group’s Trivago A$44.7 million for misleading consumers into paying higher prices for hotel room bookings.|d6d50772ebcf4ca09803a9813b64325a
new york attorney general|fareportal|In 2022, New Y ork Attorney General Letitia James fined F areportal $2.6 million for using deceptive marketing tactics to sell airline tickets and hotel rooms.|d6d50772ebcf4ca09803a9813b64325a
consumer protection laws|agency|While traversing through each sentence, Think about the key terms mentioned in it. Thought 1: While traversing through each sentence, Think about the key terms mentioned in it. Thought 2: Think about how these terms can have one on one relation with other terms. Thought 3: Find out the relation between each such related pair of terms.|d6d50772ebcf4ca09803a9813b64325a
data act|dark patterns|In the context provided, it is mentioned that the Data Act is one of the three EU legislations that specifically deal with dark patterns. Therefore, we can infer that there exists a relationship between the Data Act and dark patterns.|6f942a548d8b4c52804369e2ff81f0b3
digital services act|dark patterns|Similar to the previous pair, it is stated in the context that the Digital Services Act is also among the three EU legislations addressing dark patterns. Thus, we can assume a relation between these two concepts.|6f942a548d8b4c52804369e2ff81f0b3
directive financial services contracts concluded at a distance|dark patterns|As the context mentions that the directive financial services contracts concluded at a distance is another EU legislation that deals with dark patterns, there is a connection between these two entities.|6f942a548d8b4c52804369e2ff81f0b3
ico|nudges|The proposed age-appropriate design code issued by the UK Information Commissioner’s Oﬀice (ICO) prohibits using ’nudges’ to draw users into options with low privacy settings, specifically when used by minors. Therefore, we can infer that ICO and nudges are related in this context.|6f942a548d8b4c52804369e2ff81f0b3
